sku,custo_aba3,custo_aba3_1
8501001083,155.0,0.0
8501001054,155.0,0.0
8501001142,155.0,0.0
8501001144,155.0,0.0
8501001145,155.0,0.0
8501001146,155.0,0.0
8501001052,155.0,0.0
8501001053,155.0,0.0
8501001143,155.0,0.0
8501001055,155.0,0.0
8501001082,155.0,0.0
8501001084,155.0,0.0
8501001085,155.0,0.0
8501001086,155.0,0.0
8501001056,155.0,0.0
8501001044,152.9,0.0
8501001024,152.9,0.0
8501001025,152.9,0.0
8501001026,152.9,0.0
8501001042,152.9,0.0
8501001043,152.9,0.0
8501001073,152.9,0.0
8501001046,152.9,0.0
8501001072,152.9,0.0
8501001074,152.9,0.0
8501001075,152.9,0.0
8501001076,152.9,0.0
8501001022,152.9,0.0
8501001023,152.9,0.0
8501001045,152.9,0.0
8501003075,136.65,0.0
8501003025,136.65,0.0
8501003023,136.65,0.0
8501003022,136.65,0.0
8501003026,136.65,0.0
8501003072,136.65,0.0
8501003073,136.65,0.0
8501003074,136.65,0.0
8501003076,136.65,0.0
8501003024,136.65,0.0
8302006332,80.0,0.0
8302006335,80.0,0.0
8302006311,80.0,0.0
8302006312,80.0,0.0
8302006313,80.0,0.0
8302006314,80.0,0.0
8302006315,80.0,0.0
8302006316,80.0,0.0
8302006333,80.0,0.0
8302006334,80.0,0.0
8302006317,80.0,0.0
8302006336,80.0,0.0
8302006337,80.0,0.0
8302006347,80.0,0.0
8302006346,80.0,0.0
8302006331,80.0,0.0
8302006341,80.0,0.0
8302006342,80.0,0.0
8302006343,80.0,0.0
8302006344,80.0,0.0
8302006345,80.0,0.0
8302006125,70.5,0.0
8302006142,70.5,0.0
8302006141,70.5,0.0
8302006127,70.5,0.0
8302006126,70.5,0.0
8302006112,70.5,0.0
8302006124,70.5,0.0
8302006111,70.5,0.0
8302006122,70.5,0.0
8302006121,70.5,0.0
8302006117,70.5,0.0
8302006116,70.5,0.0
8302006115,70.5,0.0
8302006114,70.5,0.0
8302006113,70.5,0.0
8302006146,70.5,0.0
8302006145,70.5,0.0
8302006123,70.5,0.0
8302006143,70.5,0.0
8302006147,70.5,0.0
8302006144,70.5,0.0
8401003016,64.0,0.0
8401003012,64.0,0.0
8401003014,64.0,0.0
8401003015,64.0,0.0
8401003013,64.0,0.0
8401003032,64.0,0.0
8401003033,64.0,0.0
8401003034,64.0,0.0
8401003035,64.0,0.0
8401003036,64.0,0.0
8302007335,49.99,0.0
8302007346,49.99,0.0
8302007345,49.99,0.0
8302007344,49.99,0.0
8302007343,49.99,0.0
8302007342,49.99,0.0
8302007341,49.99,0.0
8302007337,49.99,0.0
8302007336,49.99,0.0
8302007316,49.99,0.0
8302007334,49.99,0.0
8302007333,49.99,0.0
8302007332,49.99,0.0
8302007331,49.99,0.0
8302007317,49.99,0.0
8302007315,49.99,0.0
8302007314,49.99,0.0
8302007313,49.99,0.0
8302007312,49.99,0.0
8302007311,49.99,0.0
8302007347,49.99,0.0
8303003026,37.5,0.0
8303003043,37.5,0.0
8303003022,37.5,0.0
8303003023,37.5,0.0
8303003024,37.5,0.0
8303003025,37.5,0.0
8303003027,37.5,0.0
8303003041,37.5,0.0
8303003042,37.5,0.0
8303003044,37.5,0.0
8303003045,37.5,0.0
8303003046,37.5,0.0
8303003047,37.5,0.0
8303003021,37.5,0.0
8303003016,34.5,0.0
8303003015,34.5,0.0
8303003014,34.5,0.0
8303003013,34.5,0.0
8303003011,34.5,0.0
8303003017,34.5,0.0
8303003012,34.5,0.0
kitfacialMCare,28.0,0.0
8302004212,22.8,0.0
8302004012,22.8,0.0
